,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
0,8.474759423897231e+17,https://twitter.com/AtlantaHabitat/status/847475942389723138,Atlanta Habitat honored for $6M economic impact in #Atlanta &amp; empowering families &amp; transforming neighbothoods! #build.thrive.grow. https://t.co/eZQgd3Iv0j,2017-03-30 15:49 +0000,597.0,10.0,0.01675041876046901,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,4
1,8.47097285242753e+17,https://twitter.com/AtlantaHabitat/status/847097285242753024,Yesterday #AtlantaHabitat’s Atlanta Interfaith Build was honored to be represented at the  @Habitat_org  Global Conference. https://t.co/3Gd0CCwTDA,2017-03-29 14:45 +0000,675.0,23.0,0.03407407407407408,2.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,0,0,0,0,0,11,11
2,8.467141889406935e+17,https://twitter.com/AtlantaHabitat/status/846714188940693504,@Macy’s employees volunteer with #AtlantaHabitat and throughout the community each year. Thank you #Macy’s! #LookGoodDoGood https://t.co/XPEUDa1s52,2017-03-28 13:22 +0000,137.0,2.0,0.0145985401459854,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0
3,8.453076363377746e+17,https://twitter.com/AtlantaHabitat/status/845307636337774595,Congratulations to Ms. Floyd who fulfilled her dream when she paid off her #AtlantaHabitat home in full today! #buildthrivegrow https://t.co/ROCH8FJqCq,2017-03-24 16:13 +0000,738.0,17.0,0.023035230352303523,3.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,3,3
4,8.450170960021299e+17,https://twitter.com/AtlantaHabitat/status/845017096002129921,Wells Fargo helped to sponsor &amp; build two homes with Atlanta Habitat in 2016. We appreciate your long-time support! https://t.co/Xm6YS4g9Ij https://t.co/aiwF3twE4c,2017-03-23 20:59 +0000,945.0,9.0,0.009523809523809523,2.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0
5,8.424316558853448e+17,https://twitter.com/AtlantaHabitat/status/842431655885344768,Thx - Villages of East Lake &amp; the @EastLakeFound for hosting an Information Session this month for residents to learn about homeownership. https://t.co/o8MoaqahFi,2017-03-16 17:45 +0000,642.0,30.0,0.04672897196261682,2.0,0.0,2.0,1.0,0.0,0.0,25.0,0.0,0,0,0,0,0,0,0
6,8.421093977614172e+17,https://twitter.com/AtlantaHabitat/status/842109397761417221,"The world changes when powerful women come together!  #IWFLeadChange  #WomensHistoryMonth, #BeBoldForChange, #WomenWhoLead https://t.co/hQpWEe69NI",2017-03-15 20:25 +0000,693.0,26.0,0.03751803751803752,2.0,0.0,4.0,0.0,1.0,3.0,15.0,0.0,0,0,0,0,0,1,1
7,8.407491065659269e+17,https://twitter.com/AtlantaHabitat/status/840749106565926913,@GeorgiaPacific started their 2017 #atlantahabitat build today.    Thanks for helping us revitalize #Atlanta communities. https://t.co/8hjaRj2Ifn,2017-03-12 02:19 +0000,354.0,26.0,0.07344632768361582,0.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,0,0,0,0,0,1,1
8,8.407349785100698e+17,https://twitter.com/AtlantaHabitat/status/840734978510069761,Today we dedicated two homes and made two homebuyers very happy! These houses were built by longtime supporter @coxenterprises. 🛠❤️ https://t.co/WdcGYGPb6h,2017-03-12 01:23 +0000,747.0,38.0,0.05087014725568943,3.0,0.0,5.0,0.0,0.0,0.0,25.0,0.0,0,0,0,0,0,5,5
9,8.403176511508767e+17,https://twitter.com/AtlantaHabitat/status/840317651150876672,"As an @AmeriCorps  Assistant House Leader, Mia is building homes and communities through her AmeriCorps service year at #AtlantaHabitat. https://t.co/VsaIuKJf2F",2017-03-10 21:45 +0000,727.0,36.0,0.04951856946354883,3.0,0.0,4.0,1.0,0.0,0.0,25.0,0.0,0,0,0,0,0,3,3
10,8.399363964879831e+17,https://twitter.com/AtlantaHabitat/status/839936396487983105,Celebrating Service Corps Members! Detmer is serving as a @quakerserviceFellow. The Netherlands native supports our Family Services team. https://t.co/h0I6XKWBgZ,2017-03-09 20:30 +0000,612.0,30.0,0.04901960784313725,2.0,0.0,3.0,0.0,0.0,0.0,25.0,0.0,0,0,0,0,0,0,0
11,8.399028558091428e+17,https://twitter.com/AtlantaHabitat/status/839902855809142784,"This week we honor our @AmeriCorps  members Amaris, Mia, Quinn (not pictured), and Jason, and @quakerservice Fellow Detmer. https://t.co/zenkj1iJKq",2017-03-09 18:17 +0000,949.0,47.0,0.04952581664910432,3.0,0.0,5.0,1.0,1.0,0.0,27.0,0.0,0,0,0,0,0,10,10
12,8.396230721519124e+17,https://twitter.com/AtlantaHabitat/status/839623072151912448,Recognizing @AmeriCorps   members! Jason serves as our AmeriCorps VISTA Operations Assistant while working on his Master’s Degree. https://t.co/7zjSo6PujM,2017-03-08 23:45 +0000,460.0,27.0,0.05869565217391305,2.0,0.0,2.0,0.0,1.0,0.0,21.0,0.0,0,0,0,0,0,1,1
13,8.395865228946473e+17,https://twitter.com/AtlantaHabitat/status/839586522894647297,"Jim Blackstone, Construction Director, celebrates his 15 year anniversary today. Thx for helping #AtlantaHabitat revitalize neighborhoods. https://t.co/FKTbrpgPk9",2017-03-08 21:20 +0000,542.0,26.0,0.04797047970479705,2.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0,0,0,0,0,0,0
14,8.392493639269908e+17,https://twitter.com/AtlantaHabitat/status/839249363926990856,Recognizing @AmeriCorps members! Amaris is serving as AmeriCorps Volunteer Management Assistant while also completing her Master’s Degree. https://t.co/PYB7PDwoHR,2017-03-07 23:00 +0000,2294.0,76.0,0.03312990409764603,4.0,0.0,21.0,2.0,0.0,0.0,27.0,0.0,0,0,0,0,0,22,22
15,8.392018880421069e+17,https://twitter.com/AtlantaHabitat/status/839201888042106885,Join us Wed 3/8 for a tour of our facilities! Tour begins at 9AM sharp &amp; breakfast will be served. RSVP jessica.tomlinson@atlantahabitat.org https://t.co/IlfinIT51q,2017-03-07 19:51 +0000,390.0,15.0,0.038461538461538464,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0,1,1
